qID,phrase,option1,option2,answer,label
3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-1,Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the Peking Duck for dinner.,Lindsey,Megan,1,-1
3K3G488TR26T05U1XYBDE8VMH5FQ5S-1,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick,1,-1
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-1,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.,Kyle,Matthew,1,-1
3Y3CZJSZ9KRTC691AD0DJY5RDO45RP-1,Sue traditionally donated old clothes to her favorite charity but in recent years has just written them checks as the _ were better received.,checks,clothes,1,0
3OID399FXG5RDTJLYOI20LF0NKKDF9-1,"Monica wanted to use a vacuum to clean the floor, but Victoria wanted to use a broom. _ cleaned the floor much quicker.",Monica,Victoria,1,-1
3CMIQF80GNOPJ9UF2HLI6E9M8HA6Q1-1,Mary had a better body and was more of a showoff than Emily. _ loves wearing bikinis to the beach.,Mary,Emily,1,1
3R0WOCG21M7GWBGBTDD1MLG3SN5DU5-1,Randy is better at playing pretend with kids than Kenneth because _ is a more creative person.,Randy,Kenneth,1,-1
3A3KKYU7P3FWS9BT16R5NZOUMH7MWU-1,Jennifer was better at playing sports than Laura was because _ was much more athletic.,Jennifer,Laura,1,-1
3EHVO81VN7ZWTJTMXJY7U2ED3YPH1I-1,"Jordan gave his miniature horse a field and a barn to stay in, and the horse liked the _ better when it was cold.",barn,field,1,-1
3XDJY5RK5UZIQ4WPK0O8BFA58KU4UX-1,Elena is a lot better using a map than Sarah because _ has had training in the military.,Elena,Sarah,1,-1
301KG0KX9EZ3I4BIGNYLZLOIV89H2D-1,Its important to choose your character's personality. You want either adamant or jolly. The _ personality makes you have better attack.,adamant,jolly,1,-1
3UZUVSO3P7T2B9P2G6XZ1THUFBBEMB-1,"Samantha was generally faster at running than Jessica, so it was surprising when _ lost the race by a large margin.",Samantha,Jessica,1,1
3KVQ0UJWPXJYK2QN97AJ6XD856EW5K-1,William showed Randy how to replace the paneling in his home.  _ was talented.,William,Randy,1,1
3DA79LNS59T3E6ZP0JHF4G8PI1WT3T-1,Nelson finished the mile run faster than Ian because _ exercised quite regularly every day.,Nelson,Ian,1,-1
3FI30CQHVMXH9SRX3X0S3N2VFOXB68-1,Erin was a better cook than Lindsey because _ had taken cooking classes for years.,Erin,Lindsey,1,-1
38VTL6WC4CRH3WKU8647JSMW4Q15YA-1,"Nick just started an accounting business, and Jeffrey started a bakery. _ is better at math.",Nick,Jeffrey,1,-1
3PGQRAZX04YI9YI5K2HFC3WPJUFYSI-1,The device worked better than the phone because the _ was out of its range.,phone,device,1,0
3EAWOID6MVB14V3O6PBBVYMB51O0VB-1,"Nick was not very cultured, while Nelson was very knowledgeable, so _ asked her to pick the movie .",Nick,Nelson,1,1
3I01FDIL6OMM6O6GURFV809J28RD2S-1,Robert was teaching the students the wrong way unlike Derrick because _ thought it was quicker.,Robert,Derrick,1,-1
3YCT0L9OMONOXZERD084VNYHERWSN2-1,The reputation was better at the diner than at the restaurant because there was better service at the _ .,diner,restaurant,1,-1
3APP19WN73SD09Z8JJS64YTSV1PG6U-1,Although Joseph was a better English teacher than Hunter _ always questioned when to use a comma.,Joseph,Hunter,1,-1
30EV7DWJTX9DM0K8DPECBY0X2AC6Y9-1,"The shoe store had two big sellers, sneakers and pumps, but since it was track season, the _ were selling out faster.",sneakers,pumps,1,-1
3CO05SML7V3UHZN0D7U12390R1KR0I-1,The mental health of Brian is much better than William's because _ sees a therapist.,Brian,William,1,-1
3UEBBGULPFMDUVU7KJ8RALJO9HMFUM-1,"The lure that I used was a lot better than the bait of my friend, because the _ was working.",lure,bait,1,-1
36818Z1KV3BYZA0GUJQY9BIXZQ83AC-1,My husband and I like the joint account better than the separate account as we can both access the _ .,joint account,separate account,1,-1
3QI9WAYOGSPGQE8ZEJMNTCCVJ17S6S-1,The steak cooked faster than the roast did because the _ was a thinner piece of meat.,steak,roast,1,-1
3PEG1BH7AEP9EIDFL3ITL8J5N93BK3-1,Christine got a better rating on their restaurant's health inspection than Betty because _ kept the place clean .,Christine,Betty,1,-1
38VTL6WC4CRH3WKU8647JSMW4GFY5X-1,"The asthma of Maria is getting worse, while Lindsey's is getting better, so _ is taking less effective medication.",Maria,Lindsey,1,-1
34HEO7RUG6SQICLI59RUR9LD56QRAA-1,I've been going to the tanning salon to tan rather than the sun because it is faster at the _ and I am busy.,salon,sun,1,-1
3TL87MO8CO3P5U6KV3SQBWBELE1LFS-1,The brand new bicycle that we bought was faster than our scooter because the _ was made from light metal.,bicycle,scooter,1,-1
3W3RSPVVGU5EOC3AQSNPXWCGU4TLU7-1,"Ryan was better at male modeling compared to Matthew, so _ helped him improve his skills.",Ryan,Matthew,1,1
3SSN80MU8CMGRLGGQZABA5AXBXLXK3-1,I went to Thailand for treatments and they were much better than the procedures in America because the _ were cheap.,treatments,procedures,1,-1
3NBFJK3IOJW3PF5CJFE0LYFKH9MGO5-1,Billy wanted to rent a movie but James said TV was better. Billy said the _ would be more entertaining.,movie,TV,1,-1
3PIOQ99R7YKPIN7OI7R4IQSXBA9UND-1,"Rich wanted a better place to store his batteries, he moved them from the top of the fridge to a drawer. The _ was hot.",fridge,drawer,1,-1
38Z7YZ2SB305CTPG4IU73HZRMQZIQ6-1,The boat tried sailing through the ocean rather than through the mountain. The _ was a faster way to travel.,ocean,mountain,1,0
3Y3N5A7N4INFB35005LT0UXIQXTYMJ-1,Dennis was a very talented singer unlike Ryan because _ wanted to be a musician for a living.,Dennis,Ryan,1,-1
3D17ECOUOET25MNGY0X5YAPUVXF131-1,The creams worked better for Benjamin than they did for Kenneth because _ was better about applying them regularly.,Benjamin,Kenneth,1,-1
3VZYA8PITOW5CCP2G0HYZ244ZK205M-1,The fingernails of Steven grow faster than those of Randy because _ eats a lot more food.,Steven,Randy,1,-1
3XAOZ9UYR1596CSPG9L13G6DTHGQ17-1,Derrick plays basketball weekly unlike Robert so _ had quicker reflexes getting the ball in a pickup game.,Derrick,Robert,1,1
3R4QIDVOJPA4ZLXPZ89GOLCLBT8EEJ-1,"In Mike's garden, the mint is growing better than the arugula, so the _ is likely getting sufficient sunlight.",mint,arugula,1,-1
3BA7SXOG1JOCZOS38B7GVIFIFHY8RT-1,"Nelson beat out William for the lead in the school play, because _ had a better musical voice.",Nelson,William,1,-1
3MJ28H2Y1E6QFTHLILJ9P30MXJBO5L-1,Derrick graduated from nursing school with better grades than Benjamin because _ attended class regularly.,Derrick,Benjamin,1,-1
3WKGUBL7SZK0DPAOROK7SUQE7YO4LT-1,"He had learned how to make art, but didn't know if it was his passion or a job. The _ seemed like a better outcome.",passion,job,1,-1
33IXYHIZB5GC45L96OEFMK3W9BL2E9-1,"Rebecca but not Erin needed to use a coccyx cushion, because _ experienced tailbone pain while sitting.",Rebecca,Erin,1,-1
3P458N04Q3V04UBXLRG727CCJWD2X8-1,The microwave cooked the soup much more faster than the stove because the _ was more powerful.,microwave,stove,1,-1
3R0WOCG21M7GWBGBTDD1MLG3SN4UDL-1,Cynthia got a much better score on their math test than Rebecca. _ took the time to study for it.,Cynthia,Rebecca,1,-1
31SIZS5W59DI5SSZU5OGH90I48ERQI-1,"SEO is work that Natalie performs sometimes, but Patricia never has, so _ is likely better with technology.",Natalie,Patricia,1,-1
37VHPF5VYC18TM3KQEHL6NGWFE8C80-1,The bucket was a better choice than the cup to carry water because the _ held more.,bucket,cup,1,-1
3CKVGCS3PG36IENDSWU6SDEWD1AS0A-1,"Rebecca's toddler was a better eater than Kayla's, as a result of _ being spoiling her less.",Rebecca,Kayla,1,-1
3EHVO81VN7ZWTJTMXJY7U2EC2FB1HJ-1,"I cannot stand broccoli, so my wife tried frying it.  I liked it better crispy than soggy, so I ate the _ broccoli.",crispy,soggy,1,0
3WGZLY9VCHKIYE9YQACWQTYE0FXD8G-1,"The woman raised her eyebrows, because between a bike and car, the _ was going faster.",bike,car,1,-1
3W5PY7V3UP5AG608DAW1S4HTT01YJ0-1,Lawrence knew how to mix soap and water better than Jeffrey because _ had a lot of chores that involved cleaning.,Lawrence,Jeffrey,1,1
3VW0145YLYAAMPBUU78QY9UMKOYJM2-1,Laura attained much better grades in school than Elena did because _ studied really hard.,Laura,Elena,1,-1
3Y3CZJSZ9M786V88UBCDBWT02PJR52-1,"International flights were handled by the helicopters rather than the jets, as the _ had better access to foreign airspace.",helicopters,jets,1,-1
3VW0145YL0QPGEA1E5KQQ7IVE5UJMB-1,I hired a tutor and my brother went to extra classes. He ended up getting better grades than me so the _ must be pretty effective.,extra classes,tutor,1,-1
3R15W654VDR72UXMPLRKVXRJY98QLW-1,Robert is very skilled at making a presentation but Derrick is not. _ made a lot of sales from their presentation.,Robert,Derrick,1,-1
37PGLWGSJVKYVFQSBBMAZTBQBDLIKL-1,Rebecca had a better relationship with her father than Betty because _ still lived with him.,Rebecca,Betty,1,0
34R0BODSP3DJXR3385SDCPUHOYVE5B-1,"The developer went to the web for the information instead of going to the book, because the _ was quicker.",web,book,1,-1
3S829FDFT4FN749DIG0OYQ3FFGEDXN-1,"The barber used the strap to sharpen the razors but not the scissors, since the _ worked better after sharpening.",razors,scissors,1,-1
3V8JSVE8YYO25QEGZ9LAVO41T6KEY7-1,"Although they had the same tank size, the racecar needed fuel frequently but the truck could go several miles without stopping. The _ was more fuel efficient.",truck,racecar,1,0
3KG2UQJ0MJMXQU071Y7Z8PV88N2NQW-1,Jack liked doing squats better than planks at the gym because the _ didn't make his stomach sore.,squats,planks,1,0
3VADEH0UHCV96VRX9H9W7EF4LALPSF-1,"Amy loved budgeting while Monica loathed it, so _ was better off with their money.",Amy,Monica,1,-1
3X2LT8FDHYWW198WR3TMAFB7VK5W8V-1,Kayla was better at telemarketing than Jessica because _ was a more confident speaker on the phone.,Kayla,Jessica,1,-1
3EQVJH0T40JI8E6OF46H8A9Z13JTHZ-1,Ian's dog looks better groomed than Eric's because _ did it at a doggy salon.,Ian,Eric,1,-1
3M7OI89LVYMLP8KWXZKNM9K59J7C63-1,He thinks the sculpture he bought is so much better as art than the painting I bought just because the _ is expensive.,sculpture,painting,1,-1
37G6BXQPLSZ8QDM1SXGGA0P7IOHQEJ-1,"Tanya was better at converting Fahrenheit to Kelvin compared to Rebecca, so the teacher congratulated _ .",Tanya,Rebecca,1,-1
3CKVGCS3PIJLC3MKCU66KB257JQS05-1,"He could study at night better than he could in the daytime, as during the _ his mind tended to focus.",night,daytime,1,0
3W31J70BASUSON5LZ3EOWSPNAERKCG-1,The towels at my moms house are better than the napkins because the _ soak up more water.,towels,napkins,1,-1
3DIIW4IV8PTYNO2I6LNU0EYMQZ94I4-1,"Angela ate their vegetables and exercised, while Megan ate fried food and watched TV, _ had better stamina.",Angela,Megan,1,-1
3QO7EE372Q1AJAAHI6EQ9SJMF3KBQ8-1,Matthew prevented more balls from passing them than Brian because _ was a better ball player.,Matthew,Brian,1,1
3R868ACW4SA0UUKC1QDH9YYFCHEZGD-1,Jason had a green card while Samuel was a citizen so _ couldn't become qualified to be president of the U.S.,Jason,Samuel,1,0
3PEG1BH7AEP9EIDFL3ITL8J5NANKBY-1,"Logan always grows a better garden than Kyle, mostly because _ has a natural green thumb.",Logan,Kyle,1,-1
366FYU4PTI3MFAO6FSWJEEDZLUGEKY-1,"Laura took a lot less damage in the fight than Maria, because _ was a more skilled fighter.",Laura,Maria,1,-1
36FQTHX3Z55IC94FKV2UWKQB5VI3BD-1,"The truck slipped crossing the bridge but the car held on fine, although the _ had better traction.",truck,car,1,-1
3ZURAPD28A1CFN2G2TA7RH2ZMFTF1O-1,Adam is a better athlete than Joseph however in basketball _ is shorter so is worse at that sport.,Adam,Joseph,1,0
31MCUE39BKKZ91DJGJI85XT0XLT3GW-1,"To have better dreams, Rick stopped watching scary movies before bed and started listening to classical songs. The _ was less arousing.",songs,movies,1,-1
33P2GD6NRP6YZKF85T4PZHABBWMHKZ-1,The eyes of Kevin were better than Kyle so _ never had to wear glasses during the day.,Kevin,Kyle,1,-1
