,sentence,option1,option2,qID
8,"The plant took up too much room in the urn, because the _ was small.",plant,urn,3IWA71V4TKUOMVUY8TSASKTOZ3UX63-2
9,"The plant took up too much room in the urn, because the _ was large.",plant,urn,3IWA71V4TKUOMVUY8TSASKTOZ3UX63-1
10,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small.",tweezer,wristlet,3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-2
11,"I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too big.",tweezer,wristlet,3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-1
14,John poured the entire bowl of fish into the hot pan on the stove until the _ was full.,bowl,pan,3YLTXLH3DF4KGMDHYNXX3082HG2HPN-2
15,John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.,bowl,pan,3YLTXLH3DF4KGMDHYNXX3082HG2HPN-1
22,Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.,mouth,bowl,3EHVO81VN5JHZUUFDLM724Q4E0O1HV-2
23,Bill poured the entire bowl of cheese snack into his mouth until the _ was full.,mouth,bowl,3EHVO81VN5JHZUUFDLM724Q4E0O1HV-1
28,James was looking if there is any space to put the book into the shelf. The _ is small.,space,book,3909MD9T21VBZOWSEH5MY1LUCSHFE2-1
29,James was looking if there is any space to put the book into the shelf. The _ is big.,space,book,3909MD9T21VBZOWSEH5MY1LUCSHFE2-2
32,The man wanted to put the luggage in the house but the _ was too small.,house,luggage,31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-1
33,The man wanted to put the luggage in the house but the _ was too large.,house,luggage,31ANT7FQN80GNCVYE8OJ5U3LQEB5HV-2
36,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.,cup,bowl,3BC9H1KCYUAWMQ07K9FGHUB108VWY7-1
37,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.,cup,bowl,3BC9H1KCYUAWMQ07K9FGHUB108VWY7-2
38,The chef decided to store the food in the container but the _ was too large.,food,container,3N5YJ55YXG153ETQC2ADIPG345GANC-1
39,The chef decided to store the food in the container but the _ was too small.,food,container,3N5YJ55YXG153ETQC2ADIPG345GANC-2
44,There were more books at the library than at the bookstore because the _ was bigger.,library,bookstore,3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-1
45,There were more books at the library than at the bookstore because the _ was smaller.,library,bookstore,3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-2
46,The documents contained in the files could not fit properly. The _ were too small.,Files,Documents,3EQVJH0T40JI8E6OF46H8A9Z6IJHTM-1
47,The documents contained in the files could not fit properly. The _ were too large.,Files,Documents,3EQVJH0T40JI8E6OF46H8A9Z6IJHTM-2
50,James could not get the bag closed because of the clothe in it. The _ is small.,cloth,bag,3IVKZBIBJ2NWN3SGA2DRQ31MTY2SHD-2
51,James could not get the bag closed because of the clothe in it. The _ is plenty.,cloth,bag,3IVKZBIBJ2NWN3SGA2DRQ31MTY2SHD-1
52,The case James used to carry the file still got more space in it. I wonder why he chose the _ that is small.,case,file,32LAQ1JNTB327PBFZ1PGJNMXOF2TU1-2
53,The case James used to carry the file still got more space in it. I wonder why he chose the _ that is big.,case,file,32LAQ1JNTB327PBFZ1PGJNMXOF2TU1-1
54,To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were bigger.,journal,diary,3GKAWYFRAR7IYV7MWPQ74DHCD8SDP4-1
55,To cope with her problems the teenager wrote in the journal and not the diary since the _ 's pages were smaller.,journal,diary,3GKAWYFRAR7IYV7MWPQ74DHCD8SDP4-2
58,James needed a bigger box to collect the silver he exchanged for the gold because the _ is bigger.,silver,gold,3CZH926SIES118Z3U0937XO2MSRE49-1
59,James needed a bigger box to collect the silver he exchanged for the gold because the _ is smaller.,silver,gold,3CZH926SIES118Z3U0937XO2MSRE49-2
62,The woman wanted to hang the dress in the closet but the _ was too large.,closet,dress,3WKGUBL7SZK0DPAOROK7SUQE70KL4A-2
63,The woman wanted to hang the dress in the closet but the _ was too small.,closet,dress,3WKGUBL7SZK0DPAOROK7SUQE70KL4A-1
68,The chef tried to put the banana in the cake but the _ was too large.,cake,banana,3DWGDA5POF2MHVPZIA3BH5HDMDGV1S-2
69,The chef tried to put the banana in the cake but the _ was too small.,cake,banana,3DWGDA5POF2MHVPZIA3BH5HDMDGV1S-1
72,"When Manny bought a new dog bed for the cage, he was disappointed when he tried to put it in. The _ was too small.",dog bed,cage,3DGDV62G7QNVVL96Z06Q8UQ9HIVP24-2
73,"When Manny bought a new dog bed for the cage, he was disappointed when he tried to put it in. The _ was too big.",dog bed,cage,3DGDV62G7QNVVL96Z06Q8UQ9HIVP24-1
79,"Heather bought a doll for her daughters cradle the doll did not fit, the _ was too small.",cradle,doll,3A3KKYU7P3FWS9BT16R5NZOURYHMW7-1
80,"Heather bought a doll for her daughters cradle the doll did not fit, the _ was too big.",cradle,doll,3A3KKYU7P3FWS9BT16R5NZOURYHMW7-2
81,They need to update their kitchen cabinets after buying more dishes because the _ are small.,cabinets,dishes,3FDWKV9VCPGYUULVQ4O4X9R6VHMUM4-1
89,The cook wanted to store the fresh honey in the jar but the _ was too small.,jar,honey,3FBEFUUYRK3XWTNYDLOWGEUH9FIA6T-1
90,"I measured the area in my kitchen, but the stove didn't fit because the _ was too small.",stove,area,3XUY87HIVPC0NXHFX4LIE1M3TVZMMA-2
91,"I measured the area in my kitchen, but the stove didn't fit because the _ was too big.",stove,area,3XUY87HIVPC0NXHFX4LIE1M3TVZMMA-1
92,The candy jar could hold 100 gumballs or 80 maltballs because the _ were smaller.,gumballs,maltballs,3NI0WFPPIBUGP5ON5H33J66CON760U-1
93,The candy jar could hold 100 gumballs or 80 maltballs because the _ were larger.,gumballs,maltballs,3NI0WFPPIBUGP5ON5H33J66CON760U-2
99,"Mark wanted to shrink his leather jacket in a bin, but the _ was too large.",leather jacket,bin,3LN3BXKGC0TW0ZF7Q3TAAU4XVC5WG9-1
100,"Mark wanted to shrink his leather jacket in a bin, but the _ was too small.",leather jacket,bin,3LN3BXKGC0TW0ZF7Q3TAAU4XVC5WG9-2
101,Mike went to serve Michelle some beans from the pot onto the plate couldn't put many because the _ was too small.,plate,pot,37SDSEDINBG308STUF41HPLE02H81M-1
102,Mike went to serve Michelle some beans from the pot onto the plate couldn't put many because the _ was so big.,plate,pot,37SDSEDINBG308STUF41HPLE02H81M-2
105,James went to fill up the barrel with the bucket but found that the _ was full.,barrel,bucket,3GITHABACYJGYBYMZNHYC7X5SFS2NX-1
106,James went to fill up the barrel with the bucket but found that the _ was empty.,barrel,bucket,3GITHABACYJGYBYMZNHYC7X5SFS2NX-2
111,"John's new cellphone would not fit in his new wallet, because the _ was too small.",wallet,cellphone,3B6F54KMR2A6P38VOFY66IX6N8QS1M-1
112,"John's new cellphone would not fit in his new wallet, because the _ was too large.",wallet,cellphone,3B6F54KMR2A6P38VOFY66IX6N8QS1M-2
113,3 cars could park in the garage but only 2 in the carport because the _ was smaller.,garage,carport,3FULMHZ7OWBZDWRGBYXMK5TBVZ24MI-2
114,3 cars could park in the garage but only 2 in the carport because the _ was larger.,garage,carport,3FULMHZ7OWBZDWRGBYXMK5TBVZ24MI-1
117,James finger could not enter his nose when it itched because the _ is very big.,nose,finger,388CL5C1RL19JQXQQTGQEHNR14ULHS-2
118,James finger could not enter his nose when it itched because the _ is very small.,nose,finger,388CL5C1RL19JQXQQTGQEHNR14ULHS-1
122,James needed more eggplant if he wanted to fill up the pot. He did not know the _ would be that big.,eggplant,pot,3MQY1YVHS5YTRR8WGVOPDALJZHJ2B2-2
123,James needed more eggplant if he wanted to fill up the pot. He did not know the _ would be that small.,eggplant,pot,3MQY1YVHS5YTRR8WGVOPDALJZHJ2B2-1
124,James threw the ball into the basket and it could not enter it. The _ is very big.,ball,basket,3RWO3EJELJNO60RAGW6C3BG4PP01P8-1
125,James threw the ball into the basket and it could not enter it. The _ is very small.,ball,basket,3RWO3EJELJNO60RAGW6C3BG4PP01P8-2
126,The old car would not fit inside the cluttered garage because the _ was too full.,garage,car,3MQY1YVHS5YTRR8WGVOPDALJZ8KB2U-1
127,The old car would not fit inside the cluttered garage because the _ was too big.,garage,car,3MQY1YVHS5YTRR8WGVOPDALJZ8KB2U-2
128,The nut kept getting loose as the hobbyist tried to tighten it on the bolt because the _ was too big.,bolt,nut,3OJX0UFJ01LJNA211VKZSNLMWN8U99-2
129,The nut kept getting loose as the hobbyist tried to tighten it on the bolt because the _ was too small.,bolt,nut,3OJX0UFJ01LJNA211VKZSNLMWN8U99-1
138,The child wanted to store the shells in the boxes but the _ were too large.,boxes,shells,3AC6MFV69KGEUQFNLWVZUYAGRCMZHX-2
139,The child wanted to store the shells in the boxes but the _ were too small.,boxes,shells,3AC6MFV69KGEUQFNLWVZUYAGRCMZHX-1
140,The old cards could not squeeze into the boxes because the _ were too small.,cards,boxes,3QD8LUVX4ZCS3RUK3AI50EFO4465XB-2
147,The carpenter took boards from his truck and put them in the garage until the _ was empty.,garage,truck,3CIS7GGG65HLOHUBP8OLS3YOXEAUEI-2
148,The carpenter took boards from his truck and put them in the garage until the _ was full.,garage,truck,3CIS7GGG65HLOHUBP8OLS3YOXEAUEI-1
151,The habanero pepper was going to fit in the bottle as the _ was narrow.,pepper,bottle,30ZKOOGW2W42P7M17FCFLI3012FA14-1
152,The habanero pepper was going to fit in the bottle as the _ was wide.,pepper,bottle,30ZKOOGW2W42P7M17FCFLI3012FA14-2
156,The band member tried to put the guitar in the case but it wouldn't fit because  the _ was too small.,guitar,case,3W5PY7V3URLPAVZFX881K251M1LYJY-2
157,The band member tried to put the guitar in the case but it wouldn't fit because  the _ was too big.,guitar,case,3W5PY7V3URLPAVZFX881K251M1LYJY-1
160,"Bill's new fancy car would not fit in his old garage, the _ was too wide.",garage,car,34OWYT6U3WFZKU8UNGJLHM92CO4I9P-2
161,"Bill's new fancy car would not fit in his old garage, the _ was too narrow.",garage,car,34OWYT6U3WFZKU8UNGJLHM92CO4I9P-1
169,"My new routine was going to fit in my schedule, because the _ was very empty.",routine,schedule,341H3G5YF2SIDF8Y7M0EG4Z8ULKZ0L-2
170,"My new routine was going to fit in my schedule, because the _ was very quick.",routine,schedule,341H3G5YF2SIDF8Y7M0EG4Z8ULKZ0L-1
175,the fake fireplace  could not fit at the wall because the _ was too narrow.,fireplace,wall,3Q2T3FD0ON6Z1B95RMG3I2DXT553M0-2
176,the fake fireplace  could not fit at the wall because the _ was too wide.,fireplace,wall,3Q2T3FD0ON6Z1B95RMG3I2DXT553M0-1
179,James could not get the new bracelet into his wrist because the _ is too small.,wrist,bracelet,3TD33TP5DNGIWU30TAH4JS4ICFQBAK-2
180,James could not get the new bracelet into his wrist because the _ is too big.,wrist,bracelet,3TD33TP5DNGIWU30TAH4JS4ICFQBAK-1
183,Liam brought home a new bed for his pet dog. However he had to take it back because the _ was too small.,bed,pet,371Q3BEXDH73KZT3WQ7YYCHI0NYZSD-1
184,Liam brought home a new bed for his pet dog. However he had to take it back because the _ was too big.,bed,pet,371Q3BEXDH73KZT3WQ7YYCHI0NYZSD-2
190,Evan moved bullets from the gun to the box for ammo until the _ was full.,box,gun,3M4KL7H8KX1GWU951073XBPMTAT16Y-1
191,Evan moved bullets from the gun to the box for ammo until the _ was empty.,box,gun,3M4KL7H8KX1GWU951073XBPMTAT16Y-2
198,The child was resistant during dinner so it hid the bean under the napkin during dinner because the _ was small.,bean,napkin,3THR0FZ95R7JB7JDU6BGYQKRCGSOLG-1
201,Kayla fit into a size six shoe while Tanya did not because _ has large feet.,Kayla,Tanya,3SMIWMMK63JUZ6F9U6UR67TXUPZWU9-2
202,Kayla fit into a size six shoe while Tanya did not because _ has small feet.,Kayla,Tanya,3SMIWMMK63JUZ6F9U6UR67TXUPZWU9-1
205,The bandage he bought to cover the burn could not fit because the _ was too big.,burn,bandage,3TC2K6WK9G0VV4BITLSFUA7A3MP82F-1
206,The bandage he bought to cover the burn could not fit because the _ was too small.,burn,bandage,3TC2K6WK9G0VV4BITLSFUA7A3MP82F-2
209,The plants do not grow because too much was planted at a spot. The _ is too small.,spot,plant,356TQKY9XHBHBU7VJVLAIZCQ2RJ87O-1
210,The plants do not grow because too much was planted at a spot. The _ is too big.,spot,plant,356TQKY9XHBHBU7VJVLAIZCQ2RJ87O-2
211,Bill poured the bag of green apple into the white bowl until the _ was completely empty.,bag,bowl,379OL9DBSSCLAUNZRY5O3A3Q2669YO-1
212,Bill poured the bag of green apple into the white bowl until the _ was completely full.,bag,bowl,379OL9DBSSCLAUNZRY5O3A3Q2669YO-2
213,The circle drawn around the letters did not cover the entire letters because the _ is too small.,circle,letter,34XASH8KLS0L2PDZ9IPAN346MQEMPX-1
214,The soap dispenser was empty so we poured some more soap into it until the _ ran out out.,dispenser,soap,37VHPF5VYEHNNB2RACTLYL4437UC8F-2
215,The soap dispenser was empty so we poured some more soap into it until the _ was full.,dispenser,soap,37VHPF5VYEHNNB2RACTLYL4437UC8F-1
217,I was able to easily fit my tables through the the double doors. The _ were quite wide.,doors,tables,3YLPJ8OXXARA78QKP5ZVVM9A3COX4I-1
218,I was able to easily fit my tables through the the double doors. The _ were quite narrow.,doors,tables,3YLPJ8OXXARA78QKP5ZVVM9A3COX4I-2
225,The man was going to put his boat in the lake but the _ was too large.,lake,boat,3JU8CV4BRLAU83Z420SNN953TZOPOL-2
