annotation_id,annotator,content_moderation,created_at,id,lead_time,text,updated_at
227,1,,2025-06-24T08:47:12.203226Z,4036,14.943,"{""qID"": ""3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2"", ""sentence"": ""Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine."", ""option1"": ""Ian"", ""option2"": ""Dennis"", ""answer"": ""2""}",2025-06-24T08:47:12.203264Z
228,1,,2025-06-24T08:47:45.164740Z,4037,17.986,"{""qID"": ""3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-1"", ""sentence"": ""He never comes to my home, but I always go to his house because the _ is smaller."", ""option1"": ""home"", ""option2"": ""house"", ""answer"": ""1""}",2025-06-24T08:47:45.164761Z
229,1,,2025-06-24T08:47:48.903322Z,4038,3.215,"{""qID"": ""3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-2"", ""sentence"": ""Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate."", ""option1"": ""Kyle"", ""option2"": ""Logan"", ""answer"": ""2""}",2025-06-24T08:47:48.903344Z
230,1,,2025-06-24T08:48:03.451067Z,4039,14.086,"{""qID"": ""3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-2"", ""sentence"": ""The GPS and map helped me navigate home.  I got lost when the _ got turned upside down."", ""option1"": ""GPS"", ""option2"": ""map"", ""answer"": ""2""}",2025-06-24T08:48:03.451089Z
231,1,,2025-06-24T08:48:13.934773Z,4040,4.527,"{""qID"": ""3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-2"", ""sentence"": ""Emily looked up and saw Patricia racing by overhead, as _ was on the ramp ."", ""option1"": ""Emily"", ""option2"": ""Patricia"", ""answer"": ""2""}",2025-06-24T08:48:13.934794Z
232,1,,2025-06-24T08:48:24.777175Z,4041,10.393,"{""qID"": ""304QEQWKZRY6EBUR5DPX06S39IH0OJ-2"", ""sentence"": ""The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty."", ""option1"": ""safe"", ""option2"": ""trolley"", ""answer"": ""2""}",2025-06-24T08:48:24.777196Z
233,1,,2025-06-24T08:48:33.364499Z,4042,8.153,"{""qID"": ""36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-1"", ""sentence"": ""He thought he had time to take the scenic route to the store, but the _ was under construction."", ""option1"": ""route"", ""option2"": ""store"", ""answer"": ""1""}",2025-06-24T08:48:33.364520Z
234,1,chores,2025-06-24T08:48:41.017245Z,4043,7.199,"{""qID"": ""37SOB9Z0SUBUPIQRB8ROANMHJ463L8-2"", ""sentence"": ""She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick."", ""option1"": ""chair"", ""option2"": ""table"", ""answer"": ""2""}",2025-06-24T08:48:41.017266Z
235,1,,2025-06-24T08:48:59.660937Z,4044,18.175,"{""qID"": ""3D1UCPY6GINZAB68HJIK5I0BYMV83E-2"", ""sentence"": ""To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary."", ""option1"": ""unconscious"", ""option2"": ""conscious"", ""answer"": ""2""}",2025-06-24T08:48:59.660973Z
236,1,wealth,2025-06-24T08:49:06.266448Z,4045,6.137,"{""qID"": ""3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2"", ""sentence"": ""Megan has a lot less money than Jessica because _ just bought the winning lottery ticket."", ""option1"": ""Megan"", ""option2"": ""Jessica"", ""answer"": ""2""}",2025-06-24T08:49:06.266470Z
237,1,,2025-06-24T08:49:19.593706Z,4046,12.84,"{""qID"": ""3NRZ1LDP7W4677DB493437C7D3WZP2-2"", ""sentence"": ""I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now."", ""option1"": ""raisins"", ""option2"": ""peanuts"", ""answer"": ""2""}",2025-06-24T08:49:19.593728Z
238,1,chores,2025-06-24T08:49:27.701525Z,4047,7.661,"{""qID"": ""3X55NP42EOE5ME6IJ28VZ67STRW3P5-1"", ""sentence"": ""Craig really loves to clean all the time but Derrick does not because _ is very neat."", ""option1"": ""Craig"", ""option2"": ""Derrick"", ""answer"": ""1""}",2025-06-24T08:49:27.701568Z
239,1,DIY,2025-06-24T08:49:36.237135Z,4048,8.085,"{""qID"": ""3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-1"", ""sentence"": ""Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers."", ""option1"": ""Dennis"", ""option2"": ""Robert"", ""answer"": ""1""}",2025-06-24T08:49:36.237155Z
240,1,,2025-06-24T08:49:39.322130Z,4049,2.641,"{""qID"": ""3DGDV62G7O7G1WAZF2UQGW20SY82PG-2"", ""sentence"": ""The party was more interesting and uplifing than the funeral because the _ was rigid."", ""option1"": ""party"", ""option2"": ""funeral"", ""answer"": ""2""}",2025-06-24T08:49:39.322151Z
241,1,,2025-06-24T08:49:43.667627Z,4050,3.919,"{""qID"": ""3VW0145YLYAAMPBUU78QY9UMP3VMJ1-2"", ""sentence"": ""The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden."", ""option1"": ""fields"", ""option2"": ""forests"", ""answer"": ""2""}",2025-06-24T08:49:43.667648Z
242,1,,2025-06-24T08:49:47.423361Z,4051,3.341,"{""qID"": ""3IWA71V4TKUOMVUY8TSASKTOZ3UX63-2"", ""sentence"": ""The plant took up too much room in the urn, because the _ was small."", ""option1"": ""plant"", ""option2"": ""urn"", ""answer"": ""2""}",2025-06-24T08:49:47.423381Z
