"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
8,"1","2025-06-06T13:04:17.201008Z",3838,31.023,"other","{qID 3QHITW7OYO7Q6B6ISU2UMJB84ZLAQE-2, sentence Ian volunteered to eat Dennis's menudo after already having a bowl because _ despised eating intestine., option1 Ian, option2 Dennis, answer 2}","2025-06-06T13:04:17.201028Z"
9,"1","2025-06-06T13:04:29.919630Z",3839,21.524,"comparison of performance, road to sucess","{qID 3XWUWJ18TLO2DDRXF83QWLKRJ29UU4-1, sentence He never comes to my home, but I always go to his house because the _ is smaller., option1 home, option2 house, answer 1}","2025-06-06T13:04:29.919671Z"
10,"1","2025-06-06T13:04:55.103429Z",3840,8.655999999999999,"other","{qID 3D5G8J4N5CI2K40F4RZLF9OG2CKVTH-2, sentence Kyle doesn't wear leg warmers to bed, while Logan almost always does. _ is more likely to live in a colder climate., option1 Kyle, option2 Logan, answer 2}","2025-06-06T13:04:55.103535Z"
11,"1","2025-06-06T13:05:05.009039Z",3841,39.444,"Failure","{qID 3DW3BNF1GHG4SV9KHVCQWF4L0K98VE-2, sentence The GPS and map helped me navigate home.  I got lost when the _ got turned upside down., option1 GPS, option2 map, answer 2}","2025-06-06T13:05:05.009082Z"
12,"1","2025-06-06T13:05:06.105571Z",3842,15.492,"other","{qID 3DTJ4WT8BFTH45NSFTZT1T1BND3ZEV-2, sentence Emily looked up and saw Patricia racing by overhead, as _ was on the ramp ., option1 Emily, option2 Patricia, answer 2}","2025-06-06T13:05:06.105603Z"
13,"1","2025-06-06T13:05:18.689879Z",3843,13.435,"other","{qID 304QEQWKZRY6EBUR5DPX06S39IH0OJ-2, sentence The treasury workers took the gold bars off of the trolley and stacked them in the safe until the _ was empty., option1 safe, option2 trolley, answer 2}","2025-06-06T13:05:18.689966Z"
16,"1","2025-06-06T13:06:20.929208Z",3844,26.337,"Failure","{qID 36FFXPMSTB2HPB0N3LWI6YRLWWHHOX-1, sentence He thought he had time to take the scenic route to the store, but the _ was under construction., option1 route, option2 store, answer 1}","2025-06-06T13:06:20.929230Z"
18,"1","2025-06-06T13:07:32.565771Z",3845,13.806,"other","{qID 37SOB9Z0SUBUPIQRB8ROANMHJ463L8-2, sentence She remembered how annoying it is to dust her wood chair so she bought a plastic table instead.  Cleaning the _ is quick., option1 chair, option2 table, answer 2}","2025-06-06T13:07:32.565792Z"
19,"1","2025-06-06T13:07:45.065266Z",3846,22.205,"comparison of performance, road to sucess","{qID 3D1UCPY6GINZAB68HJIK5I0BYMV83E-2, sentence To overcome behavioural bias, we need to focus more on changing the conscious actions instead of the unconscious actions because the _ actions are voluntary., option1 unconscious, option2 conscious, answer 2}","2025-06-06T13:07:45.065286Z"
20,"1","2025-06-06T13:07:52.737730Z",3847,13.620999999999999,"comparison of performance, road to sucess","{qID 3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2, sentence Megan has a lot less money than Jessica because _ just bought the winning lottery ticket., option1 Megan, option2 Jessica, answer 2}","2025-06-06T13:07:52.737752Z"
21,"1","2025-06-06T13:07:54.856684Z",3848,9.501,"other","{qID 3NRZ1LDP7W4677DB493437C7D3WZP2-2, sentence I picked up a bag of peanuts and raisins for a snack. I wanted a sweeter snack out so I stored the _ for now., option1 raisins, option2 peanuts, answer 2}","2025-06-06T13:07:54.856706Z"
22,"1","2025-06-06T13:08:00.483542Z",3849,34.526,"comparison of performance, road to sucess","{qID 3X55NP42EOE5ME6IJ28VZ67STRW3P5-1, sentence Craig really loves to clean all the time but Derrick does not because _ is very neat., option1 Craig, option2 Derrick, answer 1}","2025-06-06T13:08:00.483571Z"
23,"1","2025-06-06T13:08:01.374500Z",3850,10.324,"other","{qID 3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-1, sentence Dennis gave his hammer to Robert so he could hammer the nails. _ had plenty of hammers., option1 Dennis, option2 Robert, answer 1}","2025-06-06T13:08:01.374537Z"
24,"1","2025-06-06T13:08:02.305350Z",3851,19.686999999999998,"comparison of performance, road to sucess","{qID 3DGDV62G7O7G1WAZF2UQGW20SY82PG-2, sentence The party was more interesting and uplifing than the funeral because the _ was rigid., option1 party, option2 funeral, answer 2}","2025-06-06T13:08:02.305381Z"
25,"1","2025-06-06T13:08:03.180824Z",3852,5.133,"other","{qID 3VW0145YLYAAMPBUU78QY9UMP3VMJ1-2, sentence The geese prefer to nest in the fields rather than the forests because in the _ predators are more hidden., option1 fields, option2 forests, answer 2}","2025-06-06T13:08:03.180875Z"
26,"1","2025-06-06T13:08:04.159874Z",3853,5.906000000000001,"other","{qID 3IWA71V4TKUOMVUY8TSASKTOZ3UX63-2, sentence The plant took up too much room in the urn, because the _ was small., option1 plant, option2 urn, answer 2}","2025-06-06T13:08:04.159897Z"
27,"1","2025-06-06T13:08:05.172952Z",3854,11.427999999999999,"other","{qID 3M7OI89LVYMLP8KWXZKNM9K59J76CX-1, sentence I installed a new bird house outside above the ground, but had to prop it up higher away from my cat since the _ was too low., option1 bird house, option2 ground, answer 1}","2025-06-06T13:08:05.172974Z"
28,"1","2025-06-06T13:08:06.225004Z",3855,14.145999999999999,"other","{qID 3INZSNUD80OICJS8V2IAQPTPKLFD95-2, sentence I prefer spa to the pool and I find the cold water in the _  not relaxing at the end of the day., option1 spa, option2 pool, answer 2}","2025-06-06T13:08:06.225041Z"
29,"1","2025-06-06T13:08:07.315011Z",3856,19.347,"hesitation, question, advice","{qID 3B9J25CZ27R56VH0OAZQFC45F2ESCA-2, sentence Megan said it would be liberating to go out without makeup like Elena does. _ never wore makeup when she left the house., option1 Megan, option2 Elena, answer 2}","2025-06-06T13:08:07.315032Z"
30,"1","2025-06-06T13:08:08.566797Z",3857,13.200000000000001,"comparison of performance, road to sucess","{qID 38G0E1M85OJHKHF44WPVK5AIL6SUV4-1, sentence Donald was richer than Leslie was because companies had found oil on the property of _ ., option1 Donald, option2 Leslie, answer 1}","2025-06-06T13:08:08.566834Z"
31,"1","2025-06-06T13:08:09.997393Z",3858,11.724,"hesitation, question, advice","{qID 3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-2, sentence Feeling a draft, William asked Neil to please close the front door because _ was closer., option1 William, option2 Neil, answer 2}","2025-06-06T13:08:09.997418Z"
32,"1","2025-06-06T13:08:11.161707Z",3859,7.938000000000001,"other","{qID 3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-2, sentence Lindsey loved the taste of duck but Megan liked chicken better. _ ordered the kung pao chicken for dinner., option1 Lindsey, option2 Megan, answer 2}","2025-06-06T13:08:11.161741Z"
33,"1","2025-06-06T13:08:12.164384Z",3860,8.617,"other","{qID 3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-2, sentence Elena would grab their inventory in the back of the store for Megan to sell each time because _ was a loyal customer., option1 Elena, option2 Megan, answer 2}","2025-06-06T13:08:12.164424Z"
34,"1","2025-06-06T13:08:13.185573Z",3861,11.448,"Failure","{qID 3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-2, sentence Kenneth asked Dennis what time the dance was being held, but _ had forgotten., option1 Kenneth, option2 Dennis, answer 2}","2025-06-06T13:08:13.185604Z"
35,"1","2025-06-06T13:08:14.206079Z",3862,10.733,"other","{qID 3S4TINXCC217YYX13TMMKNON1TXBOG-1, sentence Eric was teaching all of the proper stretches to Neil, because _ was using them to get paid., option1 Eric, option2 Neil, answer 1}","2025-06-06T13:08:14.206100Z"
36,"1","2025-06-06T13:08:14.994123Z",3863,8.224,"comparison of performance, road to sucess","{qID 36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-2, sentence When buying a home, Patricia doesn't have as much money to spend as Tanya, so _ buys a 5 bedroom house., option1 Patricia, option2 Tanya, answer 2}","2025-06-06T13:08:14.994148Z"
37,"1","2025-06-06T13:08:15.887205Z",3864,11.085999999999999,"other","{qID 3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-2, sentence I wanted to buy small tweezer to fit in my wristlet, but they still didn't fit. The _ were too small., option1 tweezer, option2 wristlet, answer 2}","2025-06-06T13:08:15.887253Z"
38,"1","2025-06-06T13:08:16.837986Z",3865,26.29,"comparison of performance, road to sucess","{qID 3PCPFX4U40OL22NQ3AOM0KMZ1FFFQD-1, sentence Handling emergencies was never very difficult for Kevin but it was for Nelson because _ could remain calm under pressure., option1 Kevin, option2 Nelson, answer 1}","2025-06-06T13:08:16.838030Z"
39,"1","2025-06-06T13:08:17.647198Z",3866,8.126,"hesitation, question, advice","{qID 3P4C70TRMTVVJU2F6NY8THBPLKALGF-1, sentence Emily asked her sister Sarah if she needed any tampons or pads from the store, even though _ didn't because she had switched to using menstrual cups., option1 Emily, option2 Sarah, answer 1}","2025-06-06T13:08:17.647249Z"
40,"1","2025-06-06T13:08:18.479550Z",3867,14.116,"Failure","{qID 3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-2, sentence Elena had a horrendous coughing fit from the pollen, unlike Tanya , since _ was immune to allergies., option1 Elena, option2 Tanya, answer 2}","2025-06-06T13:08:18.479800Z"
